StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,"Introduction ",Q11,Q15,Q17,Q17_5_TEXT,"Q16 ",Q30,Q34,Q34_5_TEXT,Q35,Q36,Q37,Q37_5_TEXT,Q38,Q39,Q40,Q40_5_TEXT,Q41,Q42,Q22,Q49,Q49_12_TEXT,Q21_1,Q21_2,Q78_1,Q78_2,Q78_3,Q47,Q23,Q23_10_TEXT,Q81,Q81_1_TEXT,Q82,Q82_1_TEXT,Q83,Q83_8_TEXT,Q20,Q25,Q25_13_TEXT,Q74,Q75,Q75_13_TEXT,Q84,Q85,Q64,Q65,Q65_13_TEXT,Q66,Q67,Q67_13_TEXT,Q68,Q69,Q70,Q71,Q76,Q77,Q72,Q73,Q73_13_TEXT,Q45,Q26,Q26_9_TEXT,Q27,Q27_8_TEXT,Q29,Q33,Q33_3_TEXT,Q46,Q32,Q32_7_TEXT,"Gender ",Q44,Nationality,Q43,Q43_13_TEXT,Q8,Q10,Q13,Q79,Q25,Q28,Q50,Q51,Q86,Q87,Q52,Q53,Q54,Q55,Q56,Q57,Q60,Q61,Q58,Q59,Q62,Q63,Q80
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"This research is to better understand micromobility in the UAE. The survey should take about 5-7 minutes of your time. To participate in the 500 AED voucher giveaway, submit your form before May 22nd. The draw will be held on May 24th.

For any questions, please contact: 
Alexander Christou, avc7693@nyu.edu
By checking this box, I consent to participate in this research survey and agree to the policies described here: https://tinyurl.com/consent-form-cities",Which Emirate do you call home?,Which of the following do you use the most?,"Pedal power! Based on your previous response, you don't need a motor to get places. Why do you cycle? (select all that apply) - Selected Choice","Pedal power! Based on your previous response, you don't need a motor to get places. Why do you cycle? (select all that apply) - Other - Text",How often do you cycle?,Which months out of the year do you cycle outside? (select all that apply),"Based on your previous response, you prefer pedaling with some assistance. Why do you ride an electric bicycle? (select all that apply) - Selected Choice","Based on your previous response, you prefer pedaling with some assistance. Why do you ride an electric bicycle? (select all that apply) - Other - Text",How often do you cycle?,Which months out of the year do you cycle outside? (select all that apply),"You have places to be! Based on your previous response, you prefer having a motor. Why do you use an electric scooter? (select all that apply) - Selected Choice","You have places to be! Based on your previous response, you prefer having a motor. Why do you use an electric scooter? (select all that apply) - Other - Text",How often do you scooter?,Which months out of the year do you scooter outside? (select all that apply),"Are you Tony Hawk? Based on your previous response, you have great balance. Why do you choose to skate? (select all that apply) - Selected Choice","Are you Tony Hawk? Based on your previous response, you have great balance. Why do you choose to skate? (select all that apply) - Other - Text",How often do you skate?,Which months out of the year do you skate outside? (select all that apply),Who do you typically ride with? (Select all that apply),Which type of rider do you identify most with? - Selected Choice,Which type of rider do you identify most with? - Other - Text,"Q21 - Do you use bikeshare services in the UAE? (e.g, Careem Bike)","Q21 - Do you track your rides on any platform? (e.g, Strava)",Do you use the following while riding? - Helmet,Do you use the following while riding? - Earbuds/Headphones,Do you use the following while riding? - Phone,Do you own a bicycle?,Make us jealous! Tell us which kind of bike you own. (select all that apply) - Selected Choice,Make us jealous! Tell us which kind of bike you own. (select all that apply) - Other - Text,How has purchasing a bicycle positively influenced your lifestyle? (select all that apply) - Selected Choice,How has purchasing a bicycle positively influenced your lifestyle? (select all that apply) - Other - Text,In what ways have cycling shops contributed to your social life and community engagement? (select all that apply) - Selected Choice,In what ways have cycling shops contributed to your social life and community engagement? (select all that apply) - Other - Text,What are the most valuable benefits you’ve gained from cycling shops in the UAE? (select all that apply) - Selected Choice,What are the most valuable benefits you’ve gained from cycling shops in the UAE? (select all that apply) - Other - Text,How safe do you feel while riding in Abu Dhabi?,Where do you typically ride in Abu Dhabi? Choose up to 3 - Selected Choice,Where do you typically ride in Abu Dhabi? Choose up to 3 - Other - Text,How safe do you feel while riding in Al Ain?,Where do you typically ride in Al Ain? Choose up to 3 - Selected Choice,Where do you typically ride in Al Ain? Choose up to 3 - Other - Text,How safe do you feel while riding in Al Dhafra?,Where do you typically ride in Al Dhafra?,How safe do you feel while riding in Dubai?,Where do you typically ride in Dubai? Choose up to 3 - Selected Choice,Where do you typically ride in Dubai? Choose up to 3 - Other - Text,How safe do you feel while riding in Sharjah?,Where do you typically ride in Sharjah? Choose up to 3 - Selected Choice,Where do you typically ride in Sharjah? Choose up to 3 - Other - Text,How safe do you feel while riding in Ajman?,Where do you typically ride in Ajman?,How safe do you feel while riding in Umm al Quwain?,Where do you typically ride in Umm al Quwain?,How safe do you feel while riding in Fujairah?,Where do you typically ride in Fujairah?,How safe do you feel while riding in Ras al Khaimah?,Where do you typically ride in Ras al Khaimah? Choose up to 3 - Selected Choice,Where do you typically ride in Ras al Khaimah? Choose up to 3 - Other - Text,Where do you feel comfortable riding?,Which 3 challenges do you face the most as a rider? - Selected Choice,Which 3 challenges do you face the most as a rider? - Other - Text,What can be improved in the riding experience? (Select all that apply) - Selected Choice,What can be improved in the riding experience? (Select all that apply) - Other - Text,Do you use any other forms of micromobility? (select all that apply),"If you have kids, would you let them cycle to school? (Skip if you do not have kids) - Selected Choice","If you have kids, would you let them cycle to school? (Skip if you do not have kids) - No (please explain why not) - Text",Do you have a regular commute?,"If you do not cycle or scooter to work, what prevents you from doing so? - Selected Choice","If you do not cycle or scooter to work, what prevents you from doing so? - Other - Text",What is your gender?,How old are you?,List of Countries,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other - Text,What best describes your employment status over the last three months?,What is your monthly salary? (in AED),How many years have you called the UAE home?,How many years have you been riding?,What do you like most about riding in Abu Dhabi?,What initiatives would encourage more people to take up cycling in Abu Dhabi?,What do you like most about riding in Al Ain?,What initiatives would encourage more people to take up cycling in Al Ain?,What do you like most about riding in Al Dhafra?,What initiatives would encourage more people to take up cycling in Al Dhafra?,What do you like most about riding in Dubai?,What initiatives would encourage more people to take up cycling in Dubai?,What do you like most about riding in Sharjah?,What initiatives would encourage more people to take up cycling in Sharjah?,What do you like most about riding in Ajman?,What initiatives would encourage more people to take up cycling in Ajman?,What do you like most about riding in Umm al Quwain?,What initiatives would encourage more people to take up cycling in Umm al Quwain?,What do you like most about riding in Fujairah?,What initiatives would encourage more people to take up cycling in Fujairah?,What do you like most about riding in Ras al Khaimah?,What initiatives would encourage more people to take up cycling in Ras al Khaimah?,"By completing this survey, you are eligible to receive a FREE limited edition Wolfi's x Alpecin water bottle, and enter the giveaway for a 500 AED voucher. Would you like to enter the giveaway? Your response will remain anonymous."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID11""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_5_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID30""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_5_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID37_5_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID40_5_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID21""}","{""ImportId"":""QID49""}","{""ImportId"":""QID49_12_TEXT""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID78_2""}","{""ImportId"":""QID78_3""}","{""ImportId"":""QID47""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_10_TEXT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID81_1_TEXT""}","{""ImportId"":""QID82""}","{""ImportId"":""QID82_1_TEXT""}","{""ImportId"":""QID83""}","{""ImportId"":""QID83_8_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_13_TEXT""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID75_13_TEXT""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID65_13_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID67_13_TEXT""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77_TEXT""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID73_13_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_9_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_8_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID33""}","{""ImportId"":""QID33_3_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID32""}","{""ImportId"":""QID32_7_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID44""}","{""ImportId"":""QID6""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_13_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID13""}","{""ImportId"":""QID79""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID86_TEXT""}","{""ImportId"":""QID87_TEXT""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID63_TEXT""}","{""ImportId"":""QID80""}"
2025-04-17 05:25:30,2025-04-17 05:25:54,0,100,23,1,2025-04-17 05:25:54,R_4ergfoOySiLvHLn,anonymous,EN,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-17 06:03:35,2025-04-17 06:12:51,0,100,556,1,2025-04-17 06:12:51,R_9c56sTK7TTTyjVn,anonymous,EN,1,3,1,4,,1,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,2,3,4",1,,4,2,1,3,4,1,"1,3",,"2,4,5,6,7",,"2,4,5,6,7",,"1,4,5,6,7",,,,,,,,,,2,"7,8,14",,,,,,,,,,,,,,"1,2,3,6","1,2,3",,"1,2,9,3,4,7",,1,1,,2,"3,6",,1,5,64,8,,1,7,24,7,,,,,,,"The Community, the environment and weather is great for riding ","More cycle tracks and better connectivity / Reduce the VAT and Import Duty for Bikes as they improve the wellbeing of the citizens of the UAE. / More education, and that time is made available for students at School to learn and practise cycling ",,,,,,,,,,,4
2025-04-17 06:40:42,2025-04-21 02:22:49,0,100,330127,1,2025-04-21 02:22:50,R_4ZUO8OblEMAa8YY,anonymous,EN,1,3,1,"1,2,3,4",,3,"1,2,3,9,10,11,12",,,,,,,,,,,,,"1,3",1,,4,2,1,3,3,1,"1,3,7",,"2,4,5,6",,"6,7",,4,,,,,,,,,,2,"7,8,14",,,,,,,,,,,,,,"1,2,7,3,6,4","1,2,3",,"1,2,9,4,5,6",,7,,,2,"2,6",,1,3,164,9,,1,5,5,6,,,,,,,Cycling tracks with no cars,"More cycling lanes well designed. More indoor solutions. Include other facilities more than only road biking. Create indoor bike parks.

- Wolfpack adventures - U.S. https://www.youtube.com/watch?v=F2UmnTulq9o
- Indoor BMX Race - https://www.youtube.com/shorts/iiivFnE-9os
- Indoor bike trial - https://www.youtube.com/shorts/rb76jOb7Sv4
- Joyride 150 Canada - https://www.youtube.com/watch?v=UMcRe4qxvOU
- North Shore Bike park https://www.youtube.com/watch?v=SRvotTFNmos

Etc etc.

There are many ways to include cycling in the community, other than road cycling, giving more options, making it fun, and encouraging the new generations to start riding. ",,,,,,,,,,,4
2025-04-22 06:35:02,2025-04-22 07:02:52,0,100,1670,1,2025-04-22 07:02:53,R_4fja2M4CZXOtlZH,anonymous,EN,1,3,3,,,,,,,,,2,,7,"1,10,11,12",,,,,1,8,,4,4,1,3,4,2,,,,,6,,"4,7",,,,,,,,,,3,"5,7,14",,,,,,,,,,,,,,3,"3,8,10",,"1,2,9,4,5",,7,,,2,"1,2",,1,3,77,10,,1,2,4,9,,,,,,,Encourages healthy lifestyles,Better lifestyle and eco-friendly ride with friends and family,,,,,,,,,,,4
2025-04-22 08:08:02,2025-04-22 08:12:31,0,100,269,1,2025-04-22 08:12:32,R_3DRCSEwNgEmPDh0,anonymous,EN,1,3,1,"3,4,6",,3,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,2,3",1,,4,1,1,3,1,1,1,,"2,4,5,6",,"2,6",,"1,4,5,6,7",,,,,,,,,,2,7,,,,,,,,,,,,,,"1,2",1,,2,,1,1,,3,,,1,4,64,8,,6,7,45,10,,,,,,,"Spending time with friends, seeing nature ","Honestly hard to say, not sure ",,,,,,,,,,,4
2025-04-22 08:07:47,2025-04-22 08:12:54,0,100,306,1,2025-04-22 08:12:55,R_4JIXnTXYcoS19rc,anonymous,EN,1,3,1,"1,3",,4,"1,2,11,12",,,,,,,,,,,,,1,7,,4,3,1,3,4,1,8,,"2,5",,"4,6",,"1,5",,,,,,,,,,3,"5,6",,,,,,,,,,,,,,"1,2","1,2,3",,"1,2,9,5",,7,2,,2,"1,2,6",,1,5,77,12,,1,4,41,6,,,,,,,Roads are clean. Nice cycle tracks at some locations.,"Just buy a nice cycle, the rest will follow.",,,,,,,,,,,4
2025-04-22 08:07:55,2025-04-22 08:13:05,0,100,309,1,2025-04-22 08:13:05,R_9wbK5o6xT1xhNYm,anonymous,EN,1,1,1,"1,3,4,6",,4,"1,2,3,4,9,10,11,12",,,,,,,,,,,,,"1,3",7,,4,1,1,2,3,1,1,,"2,6",,"2,5,6,7",,"1,5,6,7",,3,"2,5,11",,,,,,,,,,,,,,,,,,,,,,"1,2","1,2,3",,"9,4,5,6",,7,3,N/A,2,"1,6",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-22 08:08:04,2025-04-22 08:14:28,0,100,384,1,2025-04-22 08:14:29,R_4VB5zQu22A2hcIx,anonymous,AR,1,1,1,3,,3,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"2,3",1,,3,1,1,4,4,1,1,,"2,4,5,6",,"2,4,5,6,7",,"1,4,5,6,7",,1,"11,12",,,,,,,,,,,,,,,,,,,,,,"1,2",1,,"1,2,9",,1,2,,2,"1,3",,1,4,171,10,,1,3,16,5,التنظيم,,,,,,,,,,,,,,,,,,4
